,position,birth_country,weight,birth_state,name_display_first_last,college,height_inches,name_display_roster,sport_code,bats,name_first,team_code,birth_city,height_feet,pro_debut_date,team_full,team_abbrev,birth_date,throws,league,name_display_last_first,position_id,high_school,name_use,player_id,name_last,team_id,service_years,active_sw
0,P,USA,200,CA,Shane Bieber,UC Santa Barbara,3,Bieber,mlb,R,Shane,cle,Orange,6,2018-05-31T00:00:00,Cleveland Indians,CLE,1995-05-31T00:00:00,R,AL,"Bieber, Shane",1,"Laguna Hills, CA",Shane,669456,Bieber,114,,Y
1,P,Cuba,218,,Aroldis Chapman,,4,"Chapman, A",mlb,L,Aroldis,nya,Holguin,6,2010-08-31T00:00:00,New York Yankees,NYY,1988-02-28T00:00:00,L,AL,"Chapman, Aroldis",1,,Aroldis,547973,Chapman,147,,Y
2,P,USA,220,CA,Gerrit Cole,UCLA,4,"Cole, G",mlb,R,Gerrit,nya,Newport Beach,6,2013-06-11T00:00:00,New York Yankees,NYY,1990-09-08T00:00:00,R,AL,"Cole, Gerrit",1,"Orange Lutheran, Orange, CA",Gerrit,543037,Cole,147,,Y
3,P,USA,245,CA,Lucas Giolito,,6,Giolito,mlb,R,Lucas,cha,Santa Monica,6,2016-06-28T00:00:00,Chicago White Sox,CWS,1994-07-14T00:00:00,R,AL,"Giolito, Lucas",1,"Harvard-Westlake, North Hollywood, CA",Lucas,608337,Giolito,145,,Y
4,P,USA,200,FL,Shane Greene,Daytona State,4,Greene,mlb,R,Shane,atl,Clermont,6,2014-04-24T00:00:00,Atlanta Braves,ATL,1988-11-17T00:00:00,R,NL,"Greene, Shane",1,"East Ridge, Clermont, FL",Shane,572888,Greene,144,,Y
5,P,USA,224,MN,Brad Hand,,3,Hand,mlb,L,Brad,tor,Minneapolis,6,2011-06-07T00:00:00,Toronto Blue Jays,TOR,1990-03-20T00:00:00,L,AL,"Hand, Brad",1,"Chaska, MN",Brad,543272,Hand,141,,Y
6,P,Australia,235,Western Australia,Liam Hendriks,,0,Hendriks,mlb,R,Liam,cha,Perth,6,2011-09-06T00:00:00,Chicago White Sox,CWS,1989-02-10T00:00:00,R,AL,"Hendriks, Liam",1,"Sacred Heart College, Perth, AUS",Liam,521230,Hendriks,145,,Y
7,P,USA,235,KS,John Means,West Virginia,3,Means,mlb,L,John,bal,Olathe,6,2018-09-26T00:00:00,Baltimore Orioles,BAL,1993-04-24T00:00:00,L,AL,"Means, John",1,"Gardner Edgerton, Gardner, KS",John,607644,Means,110,,Y
8,P,USA,210,TN,Mike Minor,Vanderbilt,4,Minor,mlb,R,Mike,kca,Chapel Hill,6,2010-08-09T00:00:00,Kansas City Royals,KC,1987-12-26T00:00:00,L,AL,"Minor, Mike",1,"Forrest, Chapel Hill, TN",Mike,501985,Minor,118,,Y
9,P,USA,215,NJ,Charlie Morton,,5,Morton,mlb,R,Charlie,atl,Flemington,6,2008-06-14T00:00:00,Atlanta Braves,ATL,1983-11-12T00:00:00,R,NL,"Morton, Charlie",1,"Joel Barlow, Redding, CT",Charlie,450203,Morton,144,,Y
10,P,USA,190,IL,Jake Odorizzi,,2,Odorizzi,mlb,R,Jake,hou,Breese,6,2012-09-23T00:00:00,Houston Astros,HOU,1990-03-27T00:00:00,R,AL,"Odorizzi, Jake",1,"Highland, IL",Jake,543606,Odorizzi,117,,Y
11,P,USA,206,TX,Ryan Pressly,,2,Pressly,mlb,R,Ryan,hou,Dallas,6,2013-04-04T00:00:00,Houston Astros,HOU,1988-12-15T00:00:00,R,AL,"Pressly, Ryan",1,"Marcus, Flower Mound, TX",Ryan,519151,Pressly,117,,Y
